,Location (Latitude),Location (Longitude)
97,29.7604267,-95.3698028
98,29.7604267,-95.3698028
99,29.7604267,-95.3698028
100,29.7604267,-95.3698028
101,29.7604267,-95.3698028
102,29.7604267,-95.3698028
103,29.7604267,-95.3698028
104,29.7604267,-95.3698028
105,29.7604267,-95.3698028
106,29.7604267,-95.3698028
107,31.9685988,-99.9018131
108,29.7604267,-95.3698028
109,29.7604267,-95.3698028
110,31.9685988,-99.9018131
111,29.7809296,-95.3534772
112,29.7809296,-95.3534772
113,29.7126827,-95.5543753
114,29.7126827,-95.5543753
115,29.7126827,-95.5543753
116,29.7126827,-95.5543753
117,29.7126827,-95.5543753
118,29.7604267,-95.3698028
119,29.3957069,-94.9995583
120,29.3957069,-94.9995583
121,31.9685988,-99.9018131
122,31.9685988,-99.9018131
123,31.9685988,-99.9018131
124,31.9685988,-99.9018131
125,31.9685988,-99.9018131
126,31.9685988,-99.9018131
127,31.9685988,-99.9018131
128,31.9685988,-99.9018131
129,29.7493564,-95.4715705
130,29.7493564,-95.4715705
131,29.7493564,-95.4715705
132,31.9685988,-99.9018131
133,31.9685988,-99.9018131
134,31.9685988,-99.9018131
135,31.9685988,-99.9018131
136,29.6892063,-95.5267081
137,29.6892063,-95.5267081
138,29.7361818,-94.9781969
139,29.7361818,-94.9781969
140,29.7361818,-94.9781969
141,29.7361818,-94.9781969
142,29.7361818,-94.9781969
143,29.7361818,-94.9781969
144,29.7361818,-94.9781969
145,29.7361818,-94.9781969
146,29.2839484,-94.8077893
147,29.3957069,-94.9995583
148,29.3957069,-94.9995583
149,29.3957069,-94.9995583
150,31.9685988,-99.9018131
151,31.9685988,-99.9018131
152,31.9685988,-99.9018131
153,29.7493564,-95.4715705
154,29.7433606,-95.4090496
155,31.9685988,-99.9018131
156,31.9685988,-99.9018131
157,31.9685988,-99.9018131
158,31.9685988,-99.9018131
159,29.2839484,-94.8077893
160,29.2839484,-94.8077893
161,29.2839484,-94.8077893
162,29.2839484,-94.8077893
163,29.2839484,-94.8077893
164,29.2839484,-94.8077893
165,29.2839484,-94.8077893
166,29.3957069,-94.9995583
167,29.3957069,-94.9995583
168,29.3957069,-94.9995583
169,29.3957069,-94.9995583
170,29.3957069,-94.9995583
171,29.7216751,-95.3598537
172,29.69614559999999,-95.3339027
173,29.8364171,-95.5021985
174,29.8364171,-95.5021985
175,29.67682379999999,-95.4945772
176,29.5356948,-95.7848007
177,29.5356948,-95.7848007
178,29.5356948,-95.7848007
179,29.5356948,-95.7848007
180,29.6641899,-95.1568098
181,29.6603528,-95.1159294
182,29.6603528,-95.1159294
183,29.6603528,-95.1159294
184,29.6603528,-95.1159294
185,29.6603528,-95.1159294
186,29.6603528,-95.1159294
187,29.3973786,-95.2405587
188,29.037528,-95.3994952
189,29.2839484,-94.8077893
190,29.5356948,-95.7848007
191,29.5356948,-95.7848007
192,29.5356948,-95.7848007
193,29.6641899,-95.1568098
194,29.3973786,-95.2405587
195,29.66712189999999,-95.2875878
196,29.2847455,-94.8095557
197,29.2839484,-94.8077893
198,29.7251007,-95.4784358
199,29.7251007,-95.4784358
200,29.7493564,-95.4715705
201,29.7809296,-95.3534772
202,30.0064878,-95.3799117
203,31.9685988,-99.9018131
204,31.9685988,-99.9018131
205,29.67682379999999,-95.4945772
206,31.9685988,-99.9018131
207,31.9685988,-99.9018131
208,31.9685988,-99.9018131
209,31.9685988,-99.9018131
210,29.9499908,-95.4130153
211,29.7316159,-94.9786214
212,29.9499908,-95.4130153
213,29.9499908,-95.4130153
214,31.9685988,-99.9018131
215,31.9685988,-99.9018131
216,31.9685988,-99.9018131
217,31.9685988,-99.9018131
218,31.9685988,-99.9018131
219,31.9685988,-99.9018131
220,31.9685988,-99.9018131
221,31.9685988,-99.9018131
222,31.9685988,-99.9018131
223,31.9685988,-99.9018131
