Location (Latitude),Location (Longitude)
29.7251007,-95.4784358
29.7493564,-95.4715705
29.7809296,-95.3534772
30.0064878,-95.3799117
31.9685988,-99.9018131
31.9685988,-99.9018131
29.67682379999999,-95.4945772
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
29.9499908,-95.4130153
29.7316159,-94.9786214
29.9499908,-95.4130153
29.9499908,-95.4130153
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
31.9685988,-99.9018131
